파일명,카테고리,이미지이름,이미지설명,사용하면좋을상황
pause.svg,10-visual-symbols,일시정지,멈춤 버튼,일시정지, 대기
stop-btn.svg,10-visual-symbols,정지,중지 버튼,정지, 종료
forward.svg,10-visual-symbols,다음,앞으로 이동,다음, 건너뛰기
backward.svg,10-visual-symbols,이전,뒤로 이동,이전, 되감기
download.svg,10-visual-symbols,다운로드,파일 받기,저장, 내려받기
upload.svg,10-visual-symbols,업로드,파일 올리기,제출, 올려보내기
share.svg,10-visual-symbols,공유,나눔 표시,공유, 배포
copy.svg,10-visual-symbols,복사,복제 기능,복사, 붙여넣기
paste.svg,10-visual-symbols,붙여넣기,붙이기 기능,붙여넣기
delete.svg,10-visual-symbols,삭제,지우기,삭제, 제거
edit.svg,10-visual-symbols,편집,수정 기능,수정, 편집
settings.svg,10-visual-symbols,설정,환경 설정,설정, 옵션
home.svg,10-visual-symbols,홈,첫 화면,메인, 시작점
user.svg,10-visual-symbols,사용자,개인 프로필,프로필, 계정
group.svg,10-visual-symbols,그룹,다수 사용자,팀, 그룹
mail.svg,10-visual-symbols,메일,전자 우편,이메일, 연락
chat.svg,10-visual-symbols,채팅,대화창,메시지, 소통
phone.svg,10-visual-symbols,전화,전화 연결,통화, 연락
image.svg,10-visual-symbols,이미지,사진/그림,이미지, 시각자료
file.svg,10-visual-symbols,파일,문서 파일,문서, 자료
folder.svg,10-visual-symbols,폴더,파일 묶음,분류, 정리
folder-open.svg,10-visual-symbols,열린폴더,폴더 열기,파일 탐색, 열기
code.svg,10-visual-symbols,코드,프로그래밍 코드,코드, 기술
terminal-sym.svg,10-visual-symbols,터미널,명령줄,CLI, 개발
database-sym.svg,10-visual-symbols,데이터베이스,DB 기호,데이터, 저장
cloud-sym.svg,10-visual-symbols,클라우드,클라우드 기호,온라인, 저장
wifi-sym.svg,10-visual-symbols,와이파이,무선 기호,인터넷, 연결
battery-sym.svg,10-visual-symbols,배터리,전원 기호,충전, 전원 상태
bright.svg,10-visual-symbols,밝기,밝기 조절,화면, 밝기
dark-mode.svg,10-visual-symbols,다크모드,어두운 화면,다크모드, 테마
accessibility.svg,10-visual-symbols,접근성,누구나 사용,유니버설 디자인, 배리어프리
language.svg,10-visual-symbols,언어,다국어 표시,번역, 다국어
number-1.svg,10-visual-symbols,1번,첫 번째,순서, 단계 1
number-2.svg,10-visual-symbols,2번,두 번째,순서, 단계 2
number-3.svg,10-visual-symbols,3번,세 번째,순서, 단계 3
tip.svg,10-visual-symbols,팁,유용한 조언,도움말, 팁 박스
note.svg,10-visual-symbols,메모,기록 표시,주석, 참고사항
important.svg,10-visual-symbols,중요,중요 표시,강조, 필수
new-badge.svg,10-visual-symbols,신규,새로운 항목,NEW, 최신
hot.svg,10-visual-symbols,인기,인기 항목,HOT, 추천
trending-up.svg,10-visual-symbols,상승추세,증가 경향,성장, 개선
trending-down.svg,10-visual-symbols,하락추세,감소 경향,감소, 주의
circle-check.svg,10-visual-symbols,원체크,원형 확인,확인, 올바름
circle-x.svg,10-visual-symbols,원엑스,원형 취소,취소, 틀림
circle-plus.svg,10-visual-symbols,원더하기,원형 추가,추가, 새 항목
circle-minus.svg,10-visual-symbols,원빼기,원형 제거,제거, 감소
circle-pause.svg,10-visual-symbols,원일시정지,원형 멈춤,일시정지, 대기
circle-play.svg,10-visual-symbols,원재생,원형 재생,재생, 시작
circle-stop.svg,10-visual-symbols,원정지,원형 중지,정지, 종료
circle-user.svg,10-visual-symbols,원사용자,원형 프로필,프로필, 사용자
circle-percent.svg,10-visual-symbols,원퍼센트,원형 비율,비율, 할인
circle-gauge.svg,10-visual-symbols,원게이지,원형 측정,진행도, 측정
square-check.svg,10-visual-symbols,사각체크,사각 확인,체크박스, 완료
square-x.svg,10-visual-symbols,사각엑스,사각 취소,체크박스 해제, 취소
square-plus.svg,10-visual-symbols,사각더하기,사각 추가,새로 만들기, 추가
square-minus.svg,10-visual-symbols,사각빼기,사각 제거,제거, 축소
square-pen.svg,10-visual-symbols,사각편집,사각 수정,편집, 수정
square-user.svg,10-visual-symbols,사각사용자,사각 프로필,프로필, 계정
octagon-sym.svg,10-visual-symbols,팔각형,정지 기호,정지, 금지
octagon-alert.svg,10-visual-symbols,팔각경고,팔각 경고,위험 경고, 주의
triangle-warn.svg,10-visual-symbols,삼각경고,삼각 주의,경고, 위험
diamond-sym.svg,10-visual-symbols,다이아,마름모 기호,특별, 프리미엄
diamond-plus.svg,10-visual-symbols,다이아추가,마름모 추가,특별 추가, 프리미엄
heart-break.svg,10-visual-symbols,깨진하트,상실/아쉬움,아쉬움, 실패
heart-pulse.svg,10-visual-symbols,하트박동,생동감,활력, 건강
hand-cheer.svg,10-visual-symbols,환호,응원 손짓,응원, 축하
thumbs-up.svg,10-visual-symbols,엄지위,좋아요 표시,좋아요, 긍정
thumbs-down.svg,10-visual-symbols,엄지아래,싫어요 표시,싫어요, 부정
undo.svg,10-visual-symbols,되돌리기,이전으로,취소, 실행 취소
redo.svg,10-visual-symbols,다시하기,다음으로,재실행, 앞으로
rotate-left.svg,10-visual-symbols,왼회전,반시계 회전,회전, 복원
rotate-right.svg,10-visual-symbols,오른회전,시계 회전,회전, 진행
flip-h.svg,10-visual-symbols,좌우반전,수평 뒤집기,반전, 대칭
flip-v.svg,10-visual-symbols,상하반전,수직 뒤집기,반전, 대칭
zoom-in.svg,10-visual-symbols,확대,크게 보기,확대, 상세
zoom-out.svg,10-visual-symbols,축소,작게 보기,축소, 전체
drag-h.svg,10-visual-symbols,가로드래그,가로 이동,정렬, 이동
drag-v.svg,10-visual-symbols,세로드래그,세로 이동,정렬, 이동
move-sym.svg,10-visual-symbols,이동,위치 이동,이동, 드래그
move-diag.svg,10-visual-symbols,대각이동,대각선 이동,크기 조절, 리사이즈
to-front.svg,10-visual-symbols,앞으로,맨 앞으로,레이어, 앞으로 가져오기
to-back.svg,10-visual-symbols,뒤로,맨 뒤로,레이어, 뒤로 보내기
num-0.svg,11-numbers,숫자0,숫자 영,수 세기, 영의 개념
num-1.svg,11-numbers,숫자1,숫자 일,수 세기, 첫 번째
num-2.svg,11-numbers,숫자2,숫자 이,수 세기, 두 번째
num-3.svg,11-numbers,숫자3,숫자 삼,수 세기, 세 번째
num-4.svg,11-numbers,숫자4,숫자 사,수 세기, 네 번째
num-5.svg,11-numbers,숫자5,숫자 오,수 세기, 다섯 번째
num-6.svg,11-numbers,숫자6,숫자 육,수 세기, 여섯 번째
num-7.svg,11-numbers,숫자7,숫자 칠,수 세기, 일곱 번째
num-8.svg,11-numbers,숫자8,숫자 팔,수 세기, 여덟 번째
num-9.svg,11-numbers,숫자9,숫자 구,수 세기, 아홉 번째
num-10.svg,11-numbers,숫자10,숫자 십,수 세기, 열 번째
num-11.svg,11-numbers,숫자11,숫자 십일,수 세기, 열한 번째
num-12.svg,11-numbers,숫자12,숫자 십이,수 세기, 시계 숫자
num-13.svg,11-numbers,숫자13,숫자 십삼,수 세기, 열세 번째
num-14.svg,11-numbers,숫자14,숫자 십사,수 세기, 열네 번째
num-15.svg,11-numbers,숫자15,숫자 십오,수 세기, 열다섯 번째
num-16.svg,11-numbers,숫자16,숫자 십육,16진법, 비트 단위
num-17.svg,11-numbers,숫자17,숫자 십칠,수 세기, 열일곱 번째
num-18.svg,11-numbers,숫자18,숫자 십팔,수 세기, 열여덟 번째
num-19.svg,11-numbers,숫자19,숫자 십구,수 세기, 열아홉 번째
num-20.svg,11-numbers,숫자20,숫자 이십,수 세기, 스무 번째
num-21.svg,11-numbers,숫자21,숫자 이십일,수 세기, 스물한 번째
num-22.svg,11-numbers,숫자22,숫자 이십이,수 세기, 스물두 번째
num-23.svg,11-numbers,숫자23,숫자 이십삼,수 세기, 스물세 번째
num-24.svg,11-numbers,숫자24,숫자 이십사,수 세기, 24시간
num-25.svg,11-numbers,숫자25,숫자 이십오,수 세기, 스물다섯 번째
num-26.svg,11-numbers,숫자26,숫자 이십육,알파벳 개수, 26자
num-27.svg,11-numbers,숫자27,숫자 이십칠,수 세기, 3의 세제곱
num-28.svg,11-numbers,숫자28,숫자 이십팔,수 세기, 완전수
num-29.svg,11-numbers,숫자29,숫자 이십구,수 세기, 소수
num-30.svg,11-numbers,숫자30,숫자 삼십,수 세기, 서른 번째
num-31.svg,11-numbers,숫자31,숫자 삼십일,수 세기, 한 달 일수
num-32.svg,11-numbers,숫자32,숫자 삼십이,32비트, 컴퓨터 구조
num-33.svg,11-numbers,숫자33,숫자 삼십삼,수 세기, 서른세 번째
num-34.svg,11-numbers,숫자34,숫자 삼십사,수 세기, 서른네 번째
num-35.svg,11-numbers,숫자35,숫자 삼십오,수 세기, 서른다섯 번째
num-36.svg,11-numbers,숫자36,숫자 삼십육,수 세기, 36진법
num-37.svg,11-numbers,숫자37,숫자 삼십칠,수 세기, 소수
num-38.svg,11-numbers,숫자38,숫자 삼십팔,수 세기, 서른여덟 번째
num-39.svg,11-numbers,숫자39,숫자 삼십구,수 세기, 서른아홉 번째
num-40.svg,11-numbers,숫자40,숫자 사십,수 세기, 마흔 번째
circle-num-0.svg,11-numbers,원숫자0,원 안의 0,번호 표시, 순서
circle-num-1.svg,11-numbers,원숫자1,원 안의 1,번호 표시, 1단계
circle-num-2.svg,11-numbers,원숫자2,원 안의 2,번호 표시, 2단계
circle-num-3.svg,11-numbers,원숫자3,원 안의 3,번호 표시, 3단계
circle-num-4.svg,11-numbers,원숫자4,원 안의 4,번호 표시, 4단계
circle-num-5.svg,11-numbers,원숫자5,원 안의 5,번호 표시, 5단계
circle-num-6.svg,11-numbers,원숫자6,원 안의 6,번호 표시, 6단계
circle-num-7.svg,11-numbers,원숫자7,원 안의 7,번호 표시, 7단계
circle-num-8.svg,11-numbers,원숫자8,원 안의 8,번호 표시, 8단계
circle-num-9.svg,11-numbers,원숫자9,원 안의 9,번호 표시, 9단계
shape-circle.svg,12-shapes,원,원형,2D 도형, 기본 도형
shape-square.svg,12-shapes,정사각형,정사각형 도형,2D 도형, 기본 도형
shape-triangle.svg,12-shapes,삼각형,삼각형 도형,2D 도형, 기본 도형
shape-rectangle.svg,12-shapes,직사각형,직사각형 도형,2D 도형, 사각형
shape-diamond.svg,12-shapes,마름모,마름모 도형,2D 도형, 사각형
shape-pentagon.svg,12-shapes,오각형,정오각형 도형,2D 도형, 정다각형
shape-hexagon.svg,12-shapes,육각형,정육각형 도형,2D 도형, 벌집 구조
shape-octagon.svg,12-shapes,팔각형,정팔각형 도형,2D 도형, 정지 표지
shape-oval.svg,12-shapes,타원,타원형 도형,2D 도형, 행성 궤도
shape-star.svg,12-shapes,별,별 모양 도형,2D 도형, 꼭짓점
shape-heart.svg,12-shapes,하트,하트 모양,2D 도형, 대칭 곡선
shape-polygon.svg,12-shapes,다각형,일반 다각형,2D 도형, n각형
shapes-all.svg,12-shapes,도형모음,여러 도형 모음,도형 분류, 기하학
shape-basic.svg,12-shapes,기본도형,원삼각사각,기본 3도형, 분류
circle-triangle.svg,12-shapes,원삼각,원과 삼각형,도형 관계, 내접/외접
circle-square.svg,12-shapes,원사각,원과 사각형,도형 관계, 내접/외접
shape-line.svg,12-shapes,직선,선분,기본 요소, 1차원
shape-dashed.svg,12-shapes,점선,점선 형태,보조선, 대칭축
shape-cube.svg,12-shapes,정육면체,큐브,3D 도형, 정다면체
shape-cuboid.svg,12-shapes,직육면체,박스 형태,3D 도형, 상자
shape-sphere.svg,12-shapes,구,구체,3D 도형, 공
shape-hemisphere.svg,12-shapes,반구,반구 형태,3D 도형, 돔
shape-cylinder.svg,12-shapes,원기둥,원기둥 형태,3D 도형, 기둥
shape-cone.svg,12-shapes,원뿔,원뿔 형태,3D 도형, 뿔
shape-pyramid.svg,12-shapes,사각뿔,피라미드 형태,3D 도형, 뿔
shape-prism.svg,12-shapes,삼각기둥,프리즘 형태,3D 도형, 기둥
shape-hex-prism.svg,12-shapes,육각기둥,육각 기둥 형태,3D 도형, 기둥
shape-torus.svg,12-shapes,원환체,도넛 형태,3D 도형, 고급
shape-inscribed.svg,12-shapes,내접외접,구와 정육면체 관계,3D 도형 관계, 기하
shape-prism-light.svg,12-shapes,프리즘빛,빛의 굴절 프리즘,3D 도형, 광학
shape-3d-rotate.svg,12-shapes,3D회전,입체 회전,3D 변환, 회전
shape-box-model.svg,12-shapes,박스모델,상자 모델,CSS 박스모델, 3D 분해
shape-dimensions.svg,12-shapes,치수,크기 표시,측정, 길이/너비/높이
shape-ratio.svg,12-shapes,가로세로비,비율 표시,비율, 화면 비율
